clean_name,horse_gear,gear_win_rate
BIG ORANGE,--,0.0
BIG PROFIT,H1,0.0
BIG PROFIT,H,0.0
BIG PROFIT,H-,0.0
BIG PROFIT,--,0.25
BIG PROFIT,CP1,0.0
BIG PROFIT,CP,0.0
BIG PROFIT,CP-/B1,0.0
BIG PROFIT,B,0.0
BIG SHOT,--,0.0
BIG SHOT,TT1,0.0
BIG SHOT,TT-/SR1,0.0
BIG SHOT,SR-/B1/XB1,0.0
BIG SHOT,B-/XB-/SR2,0.0
BIG SHOT,SR,0.125
BIG TIME BABY,XB,0.0
BIG WINNER AGAIN,TT,0.0
BIGWOOD,SR1,0.0
BIGWOOD,SR-/B1/H1,0.0
BIGWOOD,B/H,0.0
BIGWOOD,B-/H-/SR2,0.0
BIGWOOD,SR,0.0
BIGWOOD,H/SR,0.0
BIGWOOD,SR-/H/XB1,0.0
BIGWOOD,H/XB,0.16666666666666666
BILLION GAINS,B1,0.0
BILLION GAINS,B,0.0
BILLION,--,0.0
BINGO BINGO,--,0.0975609756097561
BINGO HERO,--,0.5
BINGO HERO,CP1,0.0
BINGO HERO,CP,0.0
BINGO HERO,CP-/B1,0.0
BINGO HERO,TT1/B-/V1,0.0
BINGO HERO,TT/V,0.0
BINGO KEY,--,0.0
BINGO,--,0.041666666666666664
BISHOP'S LEAP,--,0.0
BIZ POWER,P1,0.0
BIZ POWER,P,0.0
BIZ POWER,P-/B1,0.0
BIZ POWER,B-,0.0
BIZ POWER,--,0.2608695652173913
BLACK STAR,--,0.0
BLACK TECH,TT1/SR1,0.0
BLACK TECH,TT/SR,0.0
BLACK TECH,TT/SR-/CP1,0.0
BLACK TECH,TT/CP,0.0
BLACK TECH,TT/CP-/B1,0.0
BLACK TECH,TT/B,0.2
BLADE FORCE,--,0.15384615384615385
BLAZE KING,B1,0.0
BLAZE KING,B-/H1/SR1,0.0
BLAZE KING,H-/SR-/P1,0.0
BLAZE KING,P,0.0
BLAZE KING,P-,0.0
BLAZE KING,B2,0.0
BLAZE KING,B,0.0
BLAZE RAIDER,TT1/H1,0.0
BLAZE RAIDER,TT/H-,0.0
BLAZE RAIDER,TT/XB1,0.0
BLAZE RAIDER,TT/XB,0.0
BLAZE RAIDER,TT/XB/B1,0.0
BLAZE RAIDER,TT/XB-/B,0.0
BLAZE RAIDER,TT/B,0.3076923076923077
BLAZE STAMINA,H1/SR1,0.0
BLAZE STAMINA,H/SR,0.0
BLAZE STAMINA,H-/SR-/B1,0.0
BLAZE STAMINA,B,0.0
BLAZE STAMINA,TT1/B,0.0
BLAZE STAMINA,TT/B,0.14285714285714285
BLAZING PARTNERS,--,0.0
BLAZING PASS,--,0.0
BLAZING SADDLES,--,0.0
BLAZING SPEED,--,0.07142857142857142
BLEDISLOE,TT1/B1,0.0
BLEDISLOE,--,0.0
BLEDISLOE,TT/B,0.1111111111111111
BLEDISLOE,TT,0.0
BLESS US ALL,--,0.09523809523809523
BLESSING WIN,TT1/B1,0.0
BLESSING WIN,TT/B-/H1,0.0
BLESSING WIN,TT/H-/B2,0.0
BLESSING WIN,TT/B,0.2
BLESSING,--,0.0
BLESSING,TT1,0.0
BLESSING,TT-/H1/XB1,0.0
BLESSING,TT2/H-/XB-/B1,0.0
BLESSING,TT/B,0.0
BLESSING,TT/B-/SR1,0.0
BLESSING,TT/SR,0.0
BLESSING,TT/SR-/V1/H2,0.0
BLESSING,TT/H/V,0.0
BLESSING,TT/V,0.0
BLISS CARTEL,--,0.05263157894736842
BLIZZARD,TT1,0.0
BLIZZARD,TT,0.0
BLIZZARD,TT/CP1,0.0
BLIZZARD,TT/CP-/B1,0.0
BLIZZARD,TT/B-/CP2,0.0
BLIZZARD,TT/CP,0.15384615384615385
BLIZZARD,TT/CP-/B2,0.0
BLIZZARD,TT/B,0.125
BLOCKER DEE,--,0.125
BLOND ME,B1/H1,0.0
BLOND ME,B/H,0.0
