clean_name,last_win_rating,ST_win_rate,HV_win_rate,ST_vs_HV_pref,AWT_win_rate,Turf_win_rate,AWT_vs_Turf_pref,last_form_going,recent_avg_pos,recent_win_rate,last_run_date,last_race_class_int,last_horse_rating,last_gear,distance_win_rate,prev_run_vet_finding,horse_code,avg_first_pos,gear_win_rate,has_overseas_form,winning_gears,gallops_30d,trots_30d,swims_30d,last_workout_date,last_workout_type,last_workout_detail,is_in_conghua,latest_body_weight
BEAUTY VIVA,51.0,0.0,0.25,Happy Valley,0.0,0.0833333333333333,TURF,GOOD,8.5,0.0,2026-07-01,4.0,54.0,CP/TT,0.0,0.0,K155,11.083333333333334,0.0,1.0,['TT'],6.0,30.0,30.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
BEST FARM,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,10.0,0.0,2026-07-04,4.0,46.0,,0.0,0.0,K579,7.0,0.0,1.0,[],5.0,31.0,23.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
BETTER AND BETTER,42.0,0.0833333333333333,0.0,Sha Tin,0.0,0.0833333333333333,TURF,GOOD,4.25,0.0,2026-07-01,4.0,50.0,H/P/TT,0.0,0.0,K277,7.083333333333333,0.2,1.0,['H/P/TT'],7.0,30.0,29.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
BIG BIG WORLD,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,12.0,0.0,2026-07-01,4.0,52.0,H/TT,0.0,0.0,L257,10.0,0.0,1.0,[],5.0,29.0,0.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
BIG RETURN,57.0,0.3333333333333333,0.0,Sha Tin,0.0,0.2727272727272727,TURF,GOOD TO FIRM,1.75,0.5,2026-07-12,4.0,65.0,H/TT,0.6,0.0,K192,8.25,0.375,1.0,['H/TT'],5.0,23.0,26.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
BITS SUPERSTAR,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,5.5,0.0,2026-06-24,4.0,49.0,,0.0,0.0,J362,4.0,0.0,1.0,[],,,,,,,,
BLUE BARON,,,,,,,,,,,,,,,,0.0,J448,,,1.0,,8.0,29.0,23.0,25/09/2026,Trotting,SmT 2 Round - Fast (R.B.),0.0,
BLUE ILLUSION,62.0,0.0,0.1111111111111111,Happy Valley,0.0,0.0909090909090909,TURF,GOOD,9.25,0.0,2026-07-08,4.0,60.0,B/TT,0.1111111111111111,0.0,K468,7.181818181818182,0.0,1.0,['B'],,,,,,,,
BRIGHT DAY,51.0,0.0,0.2,Happy Valley,0.0,0.0833333333333333,TURF,GOOD TO FIRM,4.0,0.25,2026-07-08,4.0,58.0,V/TT,0.1666666666666666,0.0,J530,7.25,0.0833333333333333,1.0,['V/TT'],6.0,31.0,24.0,14/09/2026,Trotting,SmT 1 Round - Rev Fast (A.T.),0.0,
BRIGHT MORTAR,48.0,0.25,0.0,Sha Tin,0.3333333333333333,0.0,AWT,WET FAST,5.0,0.25,2026-07-04,4.0,53.0,B/TT,0.3333333333333333,1.0,K333,9.4,0.0,1.0,['B/TT1'],5.0,29.0,30.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
BUCEPHALAS,,,,,,,,,,,,,,,,1.0,K096,,,1.0,,6.0,29.0,5.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
